Name,Born,Height,Weight,Division,Reach,Style
Kenny Robertson,"(1984-02-14) February 14, 1984 (age 35)East Peoria, Illinois, United States",5 ft 10 in (1.78 m)[1],170 lb (77 kg; 12 st),Welterweight,74.0 in (188 cm)[2],Not Available
Maximo Blanco,"(1983-10-16) October 16, 1983 (age 35)Falcón, Venezuela",5 ft 8 in (1.73 m)[1],146 lb (66 kg; 10.4 st),LightweightFeatherweight (current),71.0 in (180 cm)[1],Not Available
Sam Sicilia,"Samuel Travis Sicilia (1986-02-01) February 1, 1986 (age 33)Spokane, Washington, United States",5 ft 8 in (1.73 m),146 lb (66 kg; 10.4 st),LightweightFeatherweight,67 in (170 cm)[1],Not Available
Augusto Montaño,"Salvador Augusto Montaño (1984-10-25) October 25, 1984 (age 34)Mexico City, Mexico",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),WelterweightMiddleweight,73.0 in (185 cm)[1],Not Available
CM Punk,"(1978-10-26) October 26, 1978 (age 40)Chicago, Illinois, U.S.",6 ft 2 in (1.88 m),218 lb (99 kg),welterweight,Not Available,Wrestling
Caio Magalhães,"(1987-12-14) December 14, 1987 (age 31)Sobral, Ceará, Brazil",6 ft 1 in (1.85 m)[1],186 lb (84 kg; 13.3 st),Light HeavyweightMiddleweight,73 in (185 cm)[1],Not Available
Sean Spencer,"(1987-06-25) June 25, 1987 (age 32)Bluefield, Virginia, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),MiddleweightWelterweight,75 in (191 cm),Not Available
Josh Barnett,"Joshua Lawrence Barnett (1977-11-12) November 12, 1977 (age 41)Seattle, Washington, U.S.",6 ft 3 in (191 cm)[1],250 lb (113 kg; 17 st 12 lb),Heavyweight,78 in (198 cm)[2],"Catch Wrestling, Muay Thai, Brazilian Jiu-Jitsu"
Tae Hyun Bang,"(1983-04-15) April 15, 1983 (age 36)South Korea",5 ft 9 in (1.75 m),156 lb (71 kg; 11.1 st),WelterweightLightweight,71,Not Available
Nicolas Dalby,"(1984-11-16) November 16, 1984 (age 34)",5 ft 11 in (1.80 m)[1],170 lb (77 kg; 12 st 2 lb),Welterweight,75 in (191 cm),Not Available
Taylor Lapilus,"(1992-04-08) 8 April 1992 (age 27)Villepinte, France",5 ft 6 in (1.68 m)[1],135 lb (61 kg; 9.6 st),Featherweight Bantamweight,73.0 in (185 cm)[2],Not Available
Leandro Issa,"(1983-09-19) September 19, 1983 (age 35)",5 ft 7 in (1.70 m)[1],136 lb (62 kg; 9 st 10 lb),Featherweight (145 lb)  Bantamweight (135 lb),69.0 in (175 cm)[1],Not Available
Leandro Silva,"(1985-11-11) November 11, 1985 (age 33)São Paulo, Brazil",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),Lightweight  Welterweight,72.0 in (183 cm)[2],Not Available
Kevin Casey,"Kevin Berryman Casey Jr. (1981-06-15) June 15, 1981 (age 38) [1]Inglewood, California, U.S.",5 ft 11 in (1.80 m),185 lb (84 kg; 13.2 st),Middleweight (2007–present),76 in (193 cm)[2],Not Available
Felipe Silva,"(1984-08-05) August 5, 1984 (age 34)Juiz de Fora, Minas Gerais , Brazil",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),Lightweight,77[1] in (196 cm),Muay Thai[2]
Shane Campbell,"Shane Darryl Campbell (1987-01-21) January 21, 1987 (age 32)",6 ft 0 in (1.83 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,71 in (180 cm),Not Available
Nate Diaz,"Nathan Donald Diaz (1985-04-16) April 16, 1985 (age 34)Stockton, California, U.S.",6 ft 0 in (183 cm),77 kg (170 lb; 12 st 2 lb)[1],"Lightweight (2004–2010, 2011–2015)Welterweight (2010–2011, 2016–present)",76 in (193 cm)[1],"Boxing, Brazilian Jiu-Jitsu"
Rick Story,"(1984-08-28) August 28, 1984 (age 34)Tacoma, Washington, United States",5 ft 10 in (178 cm),170 lb (77 kg; 12 st 2 lb),Welterweight,71 in (180 cm),Not Available
Elizabeth Phillips,"(1986-08-20) 20 August 1986 (age 32)Spokane, Washington, United States",5 ft 6 in (1.68 m)[1],139 lb (63 kg; 9.9 st),BantamweightFeatherweight,65.0 in (165 cm)[1],Not Available
Lorenz Larkin,"(1986-09-03) September 3, 1986 (age 32)Riverside, California, United States",5 ft 11 in (1.80 m)[1],170 lb (77 kg; 12 st 2 lb),Heavyweight (2009–2010)Light Heavyweight (2010–2012)Middleweight (2012–2015)Welterweight (2015–present),72 1⁄2 in (184 cm)[2],"Boxing, Kung Fu"
Tatsuya Kawajiri,"Tatsuya Kawajiri (川尻達也, Kawajiri Tatsuya) (1978-05-08) 8 May 1978 (age 41)Inashiki, Ibaraki, Japan",1.71 m (5 ft 7 in)[1],61.2 kg (135 lb; 9.64 st),WelterweightLightweightFeatherweight,69 in (180 cm)[2],Kickboxing
Tyron Woodley,"Tyron Lakent Woodley (1982-04-07) April 7, 1982 (age 37)Ferguson, Missouri, U.S.",5 ft 9 in (175 cm),170 lb (77 kg; 12 st),Welterweight,74 in (188 cm)[1],"Boxing, Wrestling,Brazilian Jiu-Jitsu"
Francisco Rivera,"(1981-10-08) October 8, 1981 (age 37)Whittier, California, United States",5 ft 9 in (1.75 m)[1],135 lb (61 kg; 9.6 st),BantamweightFeatherweight,70.0 in (178 cm)[1],Not Available
Michael Graves,"Michael Graves (1991-01-08) January 8, 1991 (age 28)Maumee, Ohio, United States",6 ft 0 in (1.83 m),170.5 lb (77.3 kg; 12.18 st),Welterweight,71.0 in (180 cm)[1],Not Available
Jim Alers,"(1986-10-14) October 14, 1986 (age 32)New York, New York, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10 st 5 lb),FeatherweightLightweight,73.0 in (185 cm)[1],Not Available
Michael McDonald,"Michael Robert McDonald (1991-01-15) January 15, 1991 (age 28)Modesto, California, United States",5 ft 8 in (1.73 m),135 lb (61 kg; 9 st 9 lb),Bantamweight,70 in (178 cm),"Kickboxing, Brazilian Jiu-Jitsu"
Josh Samman,"Joshua Kaleb Samman(1988-03-14)March 14, 1988Des Moines, Iowa, U.S.[1]",6 ft 3 in (1.91 m)[2],185 lb (84 kg; 13.2 st),Middleweight,79 in (200 cm)[2],Not Available
Cody Pfister,"(1990-07-12) July 12, 1990 (age 29)Amarillo, Texas, United States",5 ft 10 in (1.78 m),155 lb (70 kg; 11.1 st),Lightweight,73.0 in (185 cm),Not Available
Brock Lesnar,"(1977-07-12) July 12, 1977 (age 42)",6 ft 3 in (191 cm),286 lb (130 kg),Heavyweight,81 in (206 cm),Wrestling
Enrique Marín,"Enrique Marín Picón (1986-09-02) September 2, 1986 (age 32)Seville, Andalusia, Spain",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st),Welterweight (2007-2015)  Lightweight (2016-present),74.0 in (188 cm)[1],"Kickboxing, Brazilian Jiu-Jitsu, Submission Wrestling"
Thiago Tavares,"(1984-11-08) November 8, 1984 (age 34)Florianópolis, Santa Catarina, Brazil",5 ft 7 in (1.70 m)[1],146 lb (66 kg; 10.4 st),LightweightFeatherweight,69 in (180 cm),Not Available
Anton Zafir,"(1987-05-10) 10 May 1987 (age 32)Cairns, Australia",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),Welterweight,72 in (183 cm),Not Available
Mehdi Baghdad,"(1985-04-13) April 13, 1985 (age 34)La Seyne-sur-Mer, France",6 ft 1 in (1.85 m),70.31 kg (155.0 lb; 11.072 st),Lightweight (2007–present)[2],75.0 in (191 cm),"Brazilian Jiu-Jitsu, Muay Thai"
Anthony Birchak,"(1986-05-16) May 16, 1986 (age 33)Tucson, Arizona, United States",5 ft 8 in (1.73 m)[1],145.1 lb (65.8 kg; 10.36 st),Bantamweight  Featherweight,69.0 in (175 cm)[1],Not Available
Jerrod Sanders,"(1979-10-01) October 1, 1979 (age 39)El Reno, Oklahoma, United States",5 ft 10 in (1.78 m)[1],135 lb (61 kg; 9.6 st),Bantamweight  Featherweight  Lightweight,72.0 in (183 cm)[1],Not Available
Rory MacDonald,"Rory MacDonald (1989-07-22) July 22, 1989 (age 29)Quesnel, British Columbia, Canada",6 ft 0 in (1.83 m)[2],170 lb (77 kg; 12 st 2 lb),Lightweight (2005–2008)Welterweight (2009–present)Middleweight (2018),76 in (193 cm)[3],"Kickboxing, Brazilian Jiu-Jitsu, Wrestling"
Steve Bossé,"(1981-07-29) July 29, 1981 (age 37)Saint-Jean-sur-Richelieu, Quebec, Canada",5 ft 11 in (1.80 m),205 lb (93 kg; 14.6 st),Not Available,74.0 in (188 cm),Not Available
Chris Beal,"(1985-08-06) August 6, 1985 (age 33)Ventura, California, United States",5 ft 8 in (1.73 m),135 lb (61 kg; 9 st 9 lb),Flyweight  Bantamweight  Featherweight,69.5 in (177 cm),Not Available
Stipe Miocic,"Stipe Miocic (1982-08-19) August 19, 1982 (age 36)Euclid, Ohio, U.S.",6 ft 4 in (193 cm)[1],242.5 lb (110 kg; 17 st 5 lb),Heavyweight,80 in (203 cm)[1],Wrestling
Zubaira Tukhugov,"(1991-01-15) January 15, 1991 (age 28)Grozny, Chechen-Ingush ASSR, Russian SFSR, Soviet Union",5 ft 8 in (1.73 m),146 lb (66 kg; 10.4 st)[1],Featherweight (2013–present) Lightweight (2010–2013),72.5 in (184 cm),Freestyle fighting
Yan Cabral,"Yan Cabral (1983-05-13) May 13, 1983 (age 36)Rio de Janeiro, Brazil",5 ft 11 in (180 cm),155 lb (70 kg; 11 st 1 lb),Lightweight (155 lb),73 in (185 cm)[1],Brazilian Jiu-Jitsu
Willie Gates,"(1987-01-21) January 21, 1987 (age 32)Fontana, California, United States",5 ft 8 in (1.73 m),125 lb (57 kg; 8.9 st),BantamweightFlyweight,70.0 in (178 cm)[1],Not Available
Chris Kelades,"Chris Kelades (1981-02-21) February 21, 1981 (age 38)Dallas, Texas",5 ft 7 in (170 cm),125.7 lb (57 kg; 9 st 0 lb),Bantamweight (2009-2012)Flyweight (2014-present),68.0 in (173 cm)[1],Not Available
Clint Hester,"(1986-11-21) November 21, 1986 (age 32)Atlanta, Georgia, United States",6 ft 2 in (1.88 m)[1],205 lb (93 kg; 14.6 st),Light HeavyweightMiddleweight,78.0 in (198 cm)[1],Not Available
Efrain Escudero,"(1986-01-15) January 15, 1986 (age 33)San Luis Rio Colorado, Sonora, Mexico[1]",5 ft 9 in (1.75 m)[2],155 lb (70 kg; 11.1 st),Lightweight,70.0 in (178 cm)[2],Wrestling
Gabriel Gonzaga,"(1979-05-18) 18 May 1979 (age 40)Rio de Janeiro, Brazil",6 ft 2 in (188 cm)[1],263.6 lb (120 kg; 18 st 12 lb),Heavyweight,76.0 in (193 cm)[2],"Brazilian Jiu-Jitsu, Boxing"
Igor Pokrajac,"(1979-01-02) 2 January 1979 (age 40)Zagreb, Croatia",1.83 m (6 ft 0 in),205 lb (93 kg; 14.6 st),Light HeavyweightHeavyweight (2015),74 in (188 cm),Not Available
Ian Entwistle,(1986-11-19) 19 November 1986 (age 32)England,5 ft 5 in (1.65 m),136 lb (62 kg; 9.7 st),Featherweight Bantamweight,64.0 in (163 cm)[1],Not Available
Lucas Martins,"(1988-11-11) November 11, 1988 (age 30)Montes Claros, Minas Gerais, Brazil",6 ft 0 in (1.83 m)[1],145 lb (66 kg; 10.4 st)  187 lb (85 kg; 13.4 st) (walk around weight),Bantamweight (135 lb)  Featherweight (145 lb)  Lightweight (155 lb),72.0 in (183 cm)[2],Muay Thai
Robert Whiteford,"Robert Whiteford (1983-04-12) April 12, 1983 (age 36)Armadale, West Lothian, Scotland",5 ft 9 in (1.75 m)[1],145.7 lb (66.1 kg; 10.41 st),Featherweight,69.0 in (175 cm)[1],Not Available
Frank Mir,"Francisco Santos Mir III (1979-05-24) May 24, 1979 (age 40)Las Vegas, Nevada, United States",6 ft 3 in (191 cm)[1],261 lb (118 kg; 18 st 9 lb),Heavyweight,79 in (201 cm),"American Kenpo, Brazilian Jiu-Jitsu"
James Te Huna,"(1981-09-29) 29 September 1981 (age 37)Darfield, New Zealand",6 ft 2 in (1.88 m)[2],186 lb (84 kg; 13.3 st),"Light Heavyweight (2003–2014, 2016) Middleweight (2014)",75 in (190 cm),Not Available
Mark Eddiva,"(1986-02-16) February 16, 1986 (age 33)Baguio City, Philippines",5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),Featherweight,68.0 in (173 cm)[1],Sanshou
Viscardi Andrade,"(1984-03-08) March 8, 1984 (age 35)Jales, São Paulo, Brazil",5 ft 11.5 in (1.82 m),170 lb (77 kg; 12 st),Welterweight,75 in (191 cm),Not Available
Tom Lawlor,"Thomas Joseph Lawlor (1983-05-15) May 15, 1983 (age 36)Fall River, Massachusetts, United States",6 ft 0 in (1.83 m)[1],205 lb (93 kg; 14.6 st),Middleweight  Light heavyweight,74 in (188 cm)[1],Not Available
Marcelo Guimarães,"(1983-06-25) June 25, 1983 (age 36)Itapemirim, Espirito Santo, Brazil",6 ft 0 in (1.83 m),171 lb (78 kg; 12.2 st),Welterweight  Middleweight,73 in (185 cm)[1],"Wrestling, Brazilian Jiu-Jitsu"
Justin Salas,"(1982-03-13) March 13, 1982 (age 37)Green River, Wyoming, United States",5 ft 8 in (173 cm),155 lb (70 kg; 11 st 1 lb),Lightweight (155 lb),70.0 in (178 cm)[1],Not Available
Mike Wilkinson,(1987-09-15) 15 September 1987 (age 31)England,5 ft 8 in (1.73 m),145 lb (66 kg; 10.4 st),LightweightFeatherweight,66,Not Available
Chris Dempsey,"(1987-09-08) September 8, 1987 (age 31)Sewickley, Pennsylvania, United States[1]",5 ft 10 in (178 cm)[2],184.8 lb (83.8 kg; 13.20 st),Middleweight  Light Heavyweight,71.0 in (180 cm),Not Available
Yaotzin Meza,"(1981-02-04) February 4, 1981 (age 38)Santa Ana, California, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10 st 5 lb),Bantamweight  Featherweight,71 in (180 cm)[1],Not Available
Norman Parke,"(1986-12-22) 22 December 1986 (age 32)Bushmills, County Antrim, Northern Ireland",5 ft 11 in (1.80 m)[1],156.1 lb (71 kg; 11 st 2 lb),Lightweight,70.0 in (178 cm)[1],Not Available
Joe Riggs,"(1982-09-23) September 23, 1982 (age 36)Sanford, Maine, United States",6 ft 0 in (1.83 m)[1],183.5 lb (83.2 kg; 13.11 st) 170,HeavyweightLight HeavyweightMiddleweight Welterweight (current),70 in (180 cm)[2],Not Available
Daniel Sarafian,"Daniel Sarafian Gantman (1982-08-21) August 21, 1982 (age 36)Sao Paulo, Brazil",5 ft 9 in (1.75 m),205 lb (93 kg; 14.6 st)[1],Light HeavyweightMiddleweightWelterweight,69.7 in (177 cm)[2],Not Available
Jared Rosholt,"(1986-08-04) August 4, 1986 (age 32)Sandpoint, Idaho, United States",6 ft 2 in (188 cm)[1],255.2 lb (116 kg; 18 st 3 lb),Heavyweight,76 1⁄2 in (194 cm),Not Available
Rafael Cavalcante,"(1980-04-05) April 5, 1980 (age 39)Ilha Solteira, São Paulo, Brazil",6 ft 1 in (1.85 m)[1],206 lb (93 kg; 14 st 10 lb),Heavyweight (265 lb)  Light heavyweight (205 lb),74 in (188 cm),Not Available
K.J. Noons,"Karl James Noons (1982-12-07) December 7, 1982 (age 36)Kailua-Kona, Hawaii, United States",5 ft 10 in (1.78 m)[1],155 lb (70 kg; 11.1 st),LightweightWelterweightMiddleweight(Boxing and Kickboxing),72 in (180 cm)[1],Not Available
Noad Lahat,"(1984-06-08) 8 June 1984 (age 35)Petah Tikva, Israel",5 ft 9 in (1.75 m),145 lb (66 kg; 10.4 st),Featherweight,69 in (175 cm)[1],Not Available
Matt Dwyer,"(1989-12-17) December 17, 1989 (age 29)New Westminster, British Columbia, Canada",6 ft 4 in (1.93 m)[1],185 lb (84 kg; 13 st 3 lb),MiddleweightWelterweight,76 in (190 cm),Not Available
Damon Jackson,"(1988-08-08) August 8, 1988 (age 30)Durant, Oklahoma, United States",5 ft 11 in (1.80 m)[1],145.8 lb (66.1 kg; 10.41 st),Featherweight Lightweight,73.0 in (185 cm)[1],Not Available
Levan Makashvili,"Levan Makashvili (1989-01-07) January 7, 1989 (age 30)Gori, Georgia",5 ft 8 in (1.73 m)[1],146.2 lb (66 kg; 10 st 6 lb),Featherweight,68 in (170 cm)[1],Not Available
Dominick Cruz,"Dominick Rojelio Cruz (1985-03-09) March 9, 1985 (age 34)San Diego, California, U.S.",5 ft 8 in (1.73 m)[1],135 lb (61 kg; 9.6 st),Bantamweight (2008–present)  Featherweight  (2006–2008)  Lightweight (2005–2006),68 in (173 cm)[2],Not Available
Matt Mitrione,"Matthew Steven Mitrione (1978-07-15) July 15, 1978 (age 40)Springfield, Illinois, United States",6 ft 3 in (192 cm)[citation needed],255 lb (116 kg; 18 st 3 lb),Heavyweight,79 in (201 cm)[1],Not Available
Daron Cruickshank,"(1985-06-11) June 11, 1985 (age 34)Westland, Michigan, United States",5 ft 8 in (1.73 m)[1],156 lb (71 kg; 11.1 st),WelterweightLightweight,72 in (183 cm)[2],Not Available
Diego Brandão,"(1987-05-27) May 27, 1987 (age 32)Fortaleza, Brazil",5 ft 7 in (1.70 m)[1],145 lb (66 kg; 10.4 st),FeatherweightLightweight,69 in (175 cm),"BJJ, Gaidojutsu"
Tony Sims,"(1985-10-14) October 14, 1985 (age 33)Davenport, Iowa, United States",5 ft 11 in (1.80 m),155 lb (70 kg; 11 st 1 lb),Lightweight,70 in (178 cm),Not Available
Masanori Kanehara,"(1982-11-18) November 18, 1982 (age 36)",5 ft 10 in (1.78 m),135 lb (61 kg; 9.6 st),BantamweightFeatherweight,67 in (170 cm)[1],Not Available
Sheldon Westcott,"(1984-08-20) August 20, 1984 (age 34)Edmonton, Alberta, Canada",6 ft 1 in (1.85 m),170 lb (77 kg; 12 st 2 lb),Middleweight  Welterweight,Not Available,Not Available
Edgar García,"(1984-02-22) February 22, 1984 (age 35)San Luis Rio Colorado, Sonora, Mexico",5 ft 10 in (1.78 m),"170 lb (77 kg; 12 st), 185 lb (84 kg; 13.2 st)",Welterweight  Middleweight (current),71.0 in (180 cm)[1],Not Available
Sarah Kaufman,"(1985-09-20) September 20, 1985 (age 33)Victoria, British Columbia, Canada",5 ft 5 in (1.65 m)[1],135 lb (61 kg; 9.6 st),Bantamweight,66.0 in (168 cm)[2],"Kickboxing, Brazilian Jiu-Jitsu"
Danny Castillo,"Daniel Alfonso Castillo (1979-08-25) August 25, 1979 (age 39)San Francisco, California, United States",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),Lightweight,71 in (180 cm)[2],Not Available
Hayder Hassan,"(1982-10-20) October 20, 1982 (age 36)Fort Lauderdale, Florida, United States",5 ft 10 in (1.78 m),170 lb (77 kg; 12 st),Welterweight,71 1⁄2 in (182 cm),Not Available
Mike Pierce,"Michael Pierce (1980-09-01) September 1, 1980 (age 38)Portland, Oregon, United States",5 ft 8 in (1.73 m)[1],170 lb (77 kg; 12 st),Welterweight,71.0 in (180 cm),Not Available
Abner Lloveras,"(1982-09-04) September 4, 1982 (age 36)[1]Barcelona, Spain[1]",5 ft 11 in (1.80 m)[1],155 lb (70 kg; 11.1 st)[1],Lightweight[3],Not Available,Not Available
John Howard,"(1983-03-01) March 1, 1983 (age 36)Dorchester, Massachusetts, United States",5 ft 7 in (1.70 m)[1],185.6 lb (84.2 kg; 13.26 st),WelterweightMiddleweight,71.0 in (180 cm)[2],Not Available
Emily Kagan,"Emily Peters Kagan (1981-07-14) July 14, 1981 (age 38)Bangor, Maine, United States",5 ft 3 in (1.60 m),115 lb (52 kg; 8.2 st),Strawweight,66.0 in (168 cm)[2],Not Available
Benson Henderson,"(1983-11-16) November 16, 1983 (age 35)Colorado Springs, Colorado, U.S.",5 ft 9 in (1.75 m)[1],156 lb (71 kg; 11 st 2 lb)[1],"Lightweight (2006–2015, 2016–present)Welterweight (2015–2016)",71 in (180 cm)[2][1],"Taekwondo, Brazilian Jiu-Jitsu, Boxing, Submission Wrestling"
Yoshihiro Akiyama,"(1975-07-29) July 29, 1975 (age 43)Osaka, Japan",177 cm (5 ft 10 in),77 kg (170 lb),MiddleweightWelterweight,75 in (191 cm),Not Available
Dongi Yang,"(1984-12-07) December 7, 1984 (age 34)",5 ft 11 in (180 cm),185 lb (84 kg; 13 st 3 lb),Middleweight,73 in (185 cm),"Judo, Taekwondo, Grappling"
Yui Chul Nam,"(1981-07-16) July 16, 1981 (age 37)Seoul, South Korea",5 ft 9 in (1.75 m),155 lb (70 kg; 11 st 1 lb),Lightweight (155 lb),69.0 in (175 cm)[1],"Taekwondo, Judo, BJJ"
Scott Jorgensen,"Scott Roger Jorgensen (1982-09-17) September 17, 1982 (age 36)Payson, Utah, United States[1]",5 ft 5 in (1.65 m),135 lb (61 kg; 9.6 st),"Flyweight (2013-2014)Bantamweight (2006-2013, 2015-present)",66.0 in (168 cm)[2],Not Available
Akbarh Arreola,"Akbarh Omar Arreola Jiménez (1983-01-14) January 14, 1983 (age 36)Tijuana, Baja California, Mexico",5 ft 10 in (1.78 m),155 lb (70 kg),Lightweight  Welterweight,Not Available,Not Available
Anthony Perosh,"(1972-10-05) 5 October 1972 (age 46)Sydney, New South Wales, Australia",6 ft 3 in (1.91 m),265 lb (120 kg; 18 st 13 lb),"Light heavyweight (205 lb) (2003–2006, 2007–2010, 2011–2016)  Heavyweight (265 lb) (2006, 2010)",75 in (191 cm),"Brazilian Jiu-Jitsu, Kempo Karate, Muay Thai"
Danny Martinez,"(1985-06-14) June 14, 1985 (age 34)Tempe, Arizona, United States",5 ft 5 in (1.65 m),125 lb (57 kg; 8.9 st),Flyweight,67 in (170 cm)[1],Not Available
Richie Vaculik,(1983-06-19) 19 June 1983 (age 36),5 ft 6 in (1.68 m),125 lb (57 kg; 8.9 st),Flyweight (MMA),69 in (175 cm),Greco-Roman Wrestling
Piotr Hallmann,"(1987-08-25) August 25, 1987 (age 31)Gdynia, Poland",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight,71.0 in (180 cm) [1],Not Available
Fabio Maldonado,"Fábio Rogerio Maldonado (1980-03-17) March 17, 1980 (age 39)Sorocaba, São Paulo, Brazil",6 ft 1 in (1.85 m),220.5 lb (100.0 kg; 15.75 st)[2],Light heavyweight Heavyweight,75 in (190 cm)[3],"Boxing, Brazilian Jiu-Jitsu"
Kevin Souza,"Edimilson dos Santos Souza (1984-10-17) October 17, 1984 (age 34)Salvador, Bahia, Brazil",6 ft 0 in (183 cm),145 lb (66 kg; 10 st 5 lb),FeatherweightLightweight,74 in (188 cm),Boxing
Gasan Umalatov,"(1982-11-03) November 3, 1982 (age 36)Zenzeli Astrakhan  Russian SFSR, Soviet Union",5 ft 11 in (1.80 m),170 lb (77 kg; 12 st),"Welterweight (2014–2017)  Middleweight (2008–2013, 2018–present)",73.0 in (185 cm)[1],Not Available
Jon Delos Reyes,"Chalan Pago-Ordot, Guam",5 ft 6 in (1.68 m),125 lb (57 kg; 8.9 st),Flyweight,68.0 in (173 cm),"Sanda, Kickboxing, BJJ"
Mickael Lebout,"(1987-08-16) August 16, 1987 (age 31)France",5 ft 11 in (1.80 m),155 lb (70 kg; 11.1 st),Lightweight  Welterweight,Not Available,Not Available
Aisling Daly,"Aisling Daly (1987-12-24) 24 December 1987 (age 31)Drimnagh, Dublin, Ireland",5 ft 3 in (1.60 m),115 lb (52 kg; 8.2 st),Strawweight  Flyweight,Not Available,Brazilian Jiu-Jitsu  Muay Thai[2]
